Date, Open, High, Low, Close, Volume
02/07/25, 18.25, 18.25, 17.80, 17.95, 9991800
02/06/25, 18.25, 18.50, 18.00, 18.15, 11395300
02/05/25, 18.00, 18.80, 18.00, 18.45, 15718800
02/04/25, 17.80, 18.40, 17.50, 17.85, 14123100
02/03/25, 17.30, 17.80, 17.20, 17.60, 6685600
01/31/25, 17.40, 17.50, 16.85, 17.20, 29290400
01/30/25, 18.30, 18.30, 17.30, 17.70, 9095100
01/29/25, 18.50, 18.85, 17.00, 18.30, 13437700
01/28/25, 18.80, 18.90, 18.40, 18.85, 10776300
01/27/25, 18.90, 18.90, 18.50, 18.80, 1302100
01/24/25, 18.90, 18.90, 18.75, 18.90, 8417100
01/23/25, 18.90, 19.00, 18.70, 18.90, 23862199
01/22/25, 19.00, 19.00, 18.80, 18.90, 1452100
01/21/25, 18.95, 19.15, 18.90, 19.00, 12285400
01/20/25, 18.65, 18.95, 18.60, 18.90, 396200
01/17/25, 18.65, 18.70, 18.50, 18.60, 3969200
01/16/25, 18.15, 19.15, 18.15, 18.60, 8126700
01/15/25, 18.10, 18.35, 18.00, 18.25, 8086000
01/14/25, 18.30, 18.30, 17.95, 18.10, 2527800
01/13/25, 18.40, 18.50, 17.95, 18.20, 507200
01/10/25, 17.85, 18.50, 17.85, 18.10, 2510300
01/09/25, 17.80, 18.00, 17.80, 17.95, 6415200
01/08/25, 18.00, 18.00, 17.65, 17.80, 4750400
01/07/25, 17.65, 17.80, 17.50, 17.70, 1284000
01/06/25, 17.35, 17.80, 17.20, 17.60, 23339699
01/03/25, 17.40, 17.40, 17.25, 17.35, 322300
01/02/25, 17.20, 17.40, 17.15, 17.20, 1347700
12/31/24, 17.15, 17.35, 17.00, 17.05, 1243600
12/30/24, 17.20, 17.50, 17.05, 17.15, 935100
12/27/24, 17.10, 17.50, 17.05, 17.10, 283900
12/24/24, 17.50, 17.50, 17.05, 17.20, 169800
12/23/24, 17.70, 17.70, 17.15, 17.50, 195000
12/20/24, 17.70, 17.70, 17.40, 17.60, 15607800
12/19/24, 17.60, 17.70, 17.45, 17.60, 17685600
12/18/24, 17.25, 17.70, 17.25, 17.60, 13539600
12/17/24, 17.10, 17.50, 17.10, 17.25, 1474800
12/16/24, 17.10, 17.30, 17.00, 17.10, 1990100
12/13/24, 16.25, 17.20, 16.25, 17.00, 4285900
12/11/24, 17.05, 17.50, 16.60, 17.00, 45870801
12/10/24, 16.65, 17.95, 16.65, 17.60, 31627500
12/09/24, 16.50, 16.70, 16.25, 16.55, 2266500
12/06/24, 15.95, 16.65, 15.60, 16.25, 1157400
12/05/24, 15.40, 16.05, 15.40, 15.95, 8256100
12/04/24, 15.30, 15.65, 15.10, 15.40, 1694500
12/03/24, 15.40, 15.50, 15.10, 15.25, 7372900
12/02/24, 15.20, 15.80, 15.15, 15.35, 13041100
11/29/24, 15.00, 15.70, 14.55, 15.00, 6528500
11/28/24, 14.35, 15.00, 14.20, 14.40, 53244398
11/27/24, 14.65, 14.70, 14.10, 14.40, 7534300
11/26/24, 14.75, 14.85, 14.55, 14.65, 11698000
11/25/24, 15.00, 15.00, 14.70, 14.85, 17256100
11/22/24, 15.00, 15.00, 14.85, 14.90, 10138100
11/21/24, 14.95, 15.30, 14.85, 14.90, 8231600
11/20/24, 14.90, 15.00, 14.60, 14.80, 3811100
11/19/24, 15.00, 15.00, 14.50, 14.90, 12136100
11/18/24, 15.15, 15.25, 14.90, 15.00, 2583000
11/15/24, 15.30, 15.30, 15.10, 15.15, 2598600
11/14/24, 15.30, 15.50, 15.15, 15.25, 3024300
11/13/24, 15.40, 15.50, 15.20, 15.30, 2990000
11/12/24, 15.40, 15.50, 15.20, 15.30, 5287200
11/11/24, 15.70, 15.70, 15.15, 15.40, 675500
11/08/24, 15.75, 15.90, 15.50, 15.65, 3815500
11/07/24, 16.30, 16.50, 15.10, 15.70, 10478000
11/06/24, 16.45, 16.45, 16.20, 16.35, 868700
11/05/24, 16.55, 16.70, 16.30, 16.45, 1548000
11/04/24, 16.80, 16.80, 16.25, 16.70, 5049800
10/31/24, 17.20, 17.20, 16.50, 16.75, 2409300
10/30/24, 17.40, 17.50, 16.85, 17.35, 8426900
10/29/24, 17.00, 17.65, 16.90, 17.40, 12200600
10/28/24, 16.50, 17.00, 16.50, 16.75, 3931300
10/25/24, 16.15, 16.70, 16.10, 16.50, 4796700
10/24/24, 16.25, 16.30, 15.60, 16.15, 4563000
10/23/24, 15.90, 16.25, 15.90, 16.15, 4846200
10/22/24, 15.60, 16.15, 15.60, 15.85, 22586600
10/18/24, 15.90, 16.30, 15.50, 15.85, 477000
10/17/24, 15.55, 15.95, 15.40, 15.55, 5660600
10/16/24, 15.40, 15.60, 15.40, 15.55, 693300
10/15/24, 15.50, 15.50, 15.20, 15.35, 224900
10/14/24, 15.30, 15.95, 15.20, 15.50, 432500
10/11/24, 15.20, 15.50, 15.00, 15.30, 14669600
10/09/24, 14.95, 15.30, 14.90, 15.00, 10071400
10/08/24, 15.00, 15.00, 14.85, 14.90, 423000
10/07/24, 15.00, 15.00, 14.90, 14.95, 5648100
10/04/24, 15.00, 15.10, 14.95, 15.00, 227400
10/03/24, 15.00, 15.10, 14.95, 15.00, 2825600
10/02/24, 15.00, 15.10, 14.90, 15.00, 26384900
10/01/24, 15.00, 15.00, 14.95, 15.00, 7388400
09/30/24, 15.10, 15.10, 14.95, 15.00, 320700
09/27/24, 15.10, 15.10, 14.95, 15.05, 586100
09/26/24, 15.10, 15.10, 15.00, 15.05, 306900
09/25/24, 15.00, 15.20, 14.95, 15.10, 4168900
09/24/24, 15.00, 15.20, 14.95, 15.00, 1335400
09/23/24, 15.10, 15.30, 14.95, 15.00, 1872100
09/20/24, 15.20, 15.25, 14.90, 15.00, 5714000
09/19/24, 15.30, 15.30, 15.10, 15.20, 724800
09/18/24, 15.30, 15.40, 15.10, 15.25, 12453100
09/17/24, 15.40, 15.50, 15.20, 15.30, 3420600
09/16/24, 15.45, 15.55, 15.05, 15.45, 924500
09/13/24, 15.50, 15.50, 15.00, 15.30, 164300
09/12/24, 15.45, 15.45, 14.90, 15.00, 1594100
09/11/24, 15.20, 15.50, 15.20, 15.30, 11419000
09/10/24, 14.90, 15.65, 14.90, 15.15, 1208200
09/09/24, 14.75, 15.00, 14.70, 14.85, 590600
09/06/24, 14.90, 15.00, 14.70, 14.80, 1949200
09/05/24, 14.90, 14.90, 14.75, 14.90, 8917300
09/04/24, 14.80, 15.00, 14.50, 14.70, 17825000
09/03/24, 14.75, 15.00, 14.50, 14.70, 14355600
09/02/24, 14.90, 14.95, 14.50, 14.70, 7264400
08/30/24, 14.50, 14.90, 14.40, 14.50, 35609801
08/29/24, 14.70, 14.75, 14.40, 14.50, 28426801
08/28/24, 14.85, 14.85, 14.40, 14.55, 17813000
08/27/24, 14.95, 14.95, 14.50, 14.80, 7508200
08/26/24, 15.00, 15.10, 14.80, 14.90, 471000
08/23/24, 15.20, 15.20, 15.00, 15.00, 2522800
08/22/24, 15.10, 15.15, 15.00, 15.05, 452900
08/21/24, 14.90, 15.15, 14.90, 15.00, 14014000
08/20/24, 15.00, 15.20, 14.95, 15.00, 2548300
08/19/24, 14.85, 15.20, 14.85, 14.95, 9567900
08/16/24, 15.00, 15.20, 14.70, 14.85, 3081800
08/15/24, 14.70, 15.00, 14.60, 14.75, 407200
08/14/24, 14.70, 14.75, 14.55, 14.60, 6745000
08/13/24, 14.80, 15.00, 14.55, 14.65, 5494700
08/12/24, 14.80, 15.00, 14.70, 14.80, 8245700
08/09/24, 14.80, 15.00, 14.75, 14.80, 1643200
08/08/24, 14.80, 14.90, 14.65, 14.75, 9072900
08/07/24, 14.85, 14.95, 14.50, 14.70, 3229000
08/06/24, 14.95, 15.00, 14.50, 14.85, 4266600
08/05/24, 15.00, 15.00, 14.20, 14.40, 12414600
08/02/24, 15.15, 15.35, 14.95, 15.05, 14638300
08/01/24, 15.80, 15.80, 15.10, 15.35, 1895000
07/31/24, 15.80, 16.00, 15.70, 15.90, 883400
07/30/24, 15.70, 16.50, 15.60, 16.00, 5675600
07/29/24, 15.45, 16.00, 15.20, 15.30, 3487600
07/26/24, 15.50, 15.50, 15.05, 15.10, 25624900
07/25/24, 15.80, 15.95, 15.05, 15.55, 21303400
07/24/24, 16.20, 16.20, 15.55, 15.95, 5218800
07/23/24, 16.30, 16.30, 16.00, 16.15, 6812200
